TIME(s);RPM(r/min);TPS(%);MAP(kPa);CLT(°C);IAT(°C);AOut(V);AccVoltage(V)
1767,39;1191;0;15;100;28;0,00;15,37;
1767,42;1191;0;16;98;28;0,00;15,37;
1767,45;1191;0;16;98;28;0,00;15,37;
1767,51;1202;0;13;98;28;0,00;15,37;
1767,52;1202;0;13;98;28;0,00;15,37;
1767,55;1202;0;15;98;28;0,00;15,37;
1767,58;1202;0;15;98;28;0,00;15,37;
1767,61;1196;0;14;98;28;0,00;15,37;
1767,64;1196;0;15;98;28;0,00;15,37;
1767,68;1180;0;15;98;28;0,00;15,37;
1767,73;1180;0;14;98;28;0,00;15,37;
1767,76;1180;0;13;98;28;0,00;15,37;
1767,78;1095;0;16;98;28;0,00;15,37;
1767,98;1095;0;16;98;28;0,00;15,37;
1768,00;1083;0;16;98;28;0,00;15,37;
1768,05;1083;0;16;98;28;0,00;15,37;
1768,08;1083;0;16;98;28;0,00;15,37;
1768,11;1083;0;16;98;28;0,00;15,37;
1768,14;1077;0;16;98;28;0,00;15,37;
1768,18;1077;0;15;98;28;0,00;15,37;
1768,21;1067;0;16;98;28;0,00;15,37;
1768,27;1067;0;15;98;28;0,00;15,37;
1768,30;1067;0;16;98;28;0,00;15,37;
1768,33;1067;0;16;98;28;0,00;15,37;
1768,36;1057;0;16;98;28;0,00;15,37;
1768,40;1057;0;16;98;28;0,00;15,37;
1768,43;1057;0;16;98;28;0,00;15,37;
1768,49;1048;0;16;98;28;0,00;15,37;
1768,51;1048;0;16;98;28;0,00;15,37;
1768,53;1048;0;16;98;28;0,00;15,37;
1768,55;1048;0;16;98;28;0,00;15,37;
1768,58;1056;0;16;98;28;0,00;15,37;
1768,61;1056;0;16;98;28;0,00;15,37;
1768,64;1056;0;16;100;28;0,00;15,37;
1768,71;1073;0;16;98;28;0,00;15,37;
1768,74;1073;0;16;98;28;0,00;15,37;
1768,77;1073;0;15;98;28;0,00;15,37;
1768,80;1119;0;15;96;28;0,00;15,37;
1768,83;1119;0;16;98;28;0,00;15,37;
1768,86;1141;0;14;98;28;0,00;15,37;
1768,94;1141;0;16;98;28;0,00;15,37;
1768,98;1141;0;16;98;28;0,00;15,37;
1768,99;1141;0;16;98;28;0,00;15,37;
1769,02;1172;0;16;98;28;0,00;15,37;
1769,05;1172;0;15;98;28;0,00;15,37;
1769,08;1190;0;14;98;28;0,00;15,37;
1769,14;1190;0;13;98;28;0,00;15,37;
1769,17;1190;0;14;98;28;0,00;15,37;
1769,18;1190;0;14;98;28;0,00;15,37;
1769,20;1190;0;13;98;28;0,00;15,37;
1769,24;1193;0;13;98;28;0,00;15,37;
1769,27;1193;0;15;98;28;0,00;15,37;
1769,30;1185;0;15;98;28;0,00;15,37;
1769,36;1185;0;14;98;28;0,00;15,37;
1769,37;1185;0;13;98;28;0,00;15,37;
1769,39;1185;0;16;98;28;0,00;15,37;
1769,43;1166;0;14;98;28;0,00;15,37;
1769,46;1166;0;14;98;28;0,00;15,37;
1769,49;1166;0;14;98;28;0,00;15,37;
1769,52;1130;0;14;98;28;0,00;15,37;
1769,58;1130;0;14;98;28;0,00;15,37;
1769,60;1130;0;16;98;28;0,00;15,37;
1769,61;1130;0;16;96;28;0,00;15,37;
1769,64;1088;0;16;95;28;0,00;15,37;
1769,68;1088;0;16;98;28;0,00;15,37;
1769,70;1088;0;15;98;28;0,00;15,37;
1769,74;1071;0;15;98;28;0,00;15,37;
1769,80;1071;0;15;96;28;0,00;15,37;
1769,82;1071;0;16;98;28;0,00;15,37;
1769,84;1071;0;16;98;28;0,00;15,37;
1769,86;1073;0;17;98;28;0,00;15,37;
1769,89;1073;0;16;98;28;0,00;15,37;
1769,93;1073;0;16;98;28;0,00;15,37;
1769,96;1073;0;16;98;28;0,00;15,37;
1770,02;1073;0;16;98;28;0,00;15,37;
1770,03;1073;0;15;96;28;0,00;15,37;
1770,05;1073;0;16;98;28;0,00;15,37;
1770,08;1092;0;16;98;28;0,00;15,37;
1770,11;1092;0;16;98;28;0,00;15,37;
1770,14;1092;0;15;98;28;0,00;15,37;
1770,18;1102;0;15;98;28;0,00;15,37;
1770,24;1102;0;15;98;28;0,00;15,37;
1770,27;1102;0;16;98;28;0,00;15,37;
1770,30;1119;0;15;98;28;0,00;15,37;
1770,37;1119;0;15;98;28;0,00;15,37;
1770,39;1146;0;16;98;28;0,00;15,37;
1770,46;1146;0;16;98;28;0,00;15,37;
1770,49;1168;0;16;98;28;0,00;15,37;
1770,62;1181;0;14;98;28;0,00;15,37;
1770,67;1181;0;14;98;28;0,00;15,37;
1770,69;1181;0;14;98;28;0,00;15,37;
1770,70;1191;0;16;98;28;0,00;15,37;
1770,74;1191;0;14;98;28;0,00;15,37;
1770,77;1191;0;14;98;28;0,00;15,37;
1770,80;1197;0;13;98;28;0,00;15,37;
1770,83;1197;0;15;98;28;0,00;15,37;
1770,89;1197;0;13;98;28;0,00;15,37;
1770,93;1211;0;13;98;28;0,00;15,37;
1770,96;1211;0;15;98;28;0,00;15,37;
1770,99;1211;0;13;98;28;0,00;15,37;
1771,02;1226;0;12;98;28;0,00;15,37;
1771,06;1226;0;13;98;28;0,00;15,37;
1771,11;1226;0;13;98;28;0,00;15,37;
1771,12;1222;0;14;96;28;0,00;15,37;
1771,14;1222;0;12;96;28;0,00;15,37;
1771,17;1222;0;13;98;28;0,00;15,37;
1771,21;1200;0;15;98;28;0,00;15,37;
1771,24;1200;0;14;98;28;0,00;15,37;
1771,27;1200;0;13;96;28;0,00;15,37;
1771,33;1170;0;14;98;28;0,00;15,37;
1771,34;1170;0;14;98;28;0,00;15,37;
1771,36;1170;0;14;98;28;0,00;15,37;
1771,40;1170;0;13;98;28;0,00;15,37;
1771,43;1152;0;13;98;28;0,00;15,37;
1771,46;1152;0;14;98;28;0,00;15,37;
1771,49;1147;0;15;98;28;0,00;15,37;
1771,55;1147;0;15;98;28;0,00;15,37;
1771,58;1147;0;13;98;28;0,00;15,37;
1771,61;1157;0;13;98;28;0,00;15,37;
1771,64;1157;0;15;98;28;0,00;15,37;
1771,68;1157;0;15;98;28;0,00;15,37;
1771,70;1176;0;13;98;28;0,00;15,37;
1771,76;1176;0;13;98;28;0,00;15,37;
1771,79;1176;0;15;98;28;0,00;15,37;
1771,80;1176;0;15;98;28;0,00;15,37;
1771,83;1192;0;14;98;28;0,00;15,37;
1771,86;1192;0;13;98;28;0,00;15,37;
1771,89;1192;0;13;98;28;0,00;15,37;
1771,92;1211;0;14;98;28;0,00;15,37;
1771,98;1211;0;14;98;28;0,00;15,37;
1772,00;1211;0;12;98;28;0,00;15,37;
1772,02;1211;0;13;98;28;0,00;15,37;
1772,05;1211;0;14;98;28;0,00;15,37;
1772,08;1211;0;12;98;28;0,00;15,37;
1772,11;1197;0;12;98;28;0,00;15,37;
1772,14;1197;0;13;98;28;0,00;15,37;
1772,21;1197;0;12;98;28;0,00;15,37;
1772,24;1179;0;13;98;28;0,00;15,37;
1772,27;1179;0;13;98;28;0,00;15,37;
1772,30;1179;0;14;98;28;0,00;15,37;
1772,33;1160;0;14;98;28;0,00;15,37;
1772,36;1160;0;13;98;28;0,00;15,37;
1772,42;1160;0;15;98;28;0,00;15,37;
1772,44;1147;0;15;98;28;0,00;15,37;
1772,46;1147;0;16;98;28;0,00;15,37;
1772,49;1147;0;15;98;28;0,00;15,37;
1772,52;1147;0;13;98;28;0,00;15,37;
1772,55;1160;0;14;98;28;0,00;15,37;
1772,58;1160;0;15;98;28;0,00;15,37;
1772,65;1170;0;14;98;28;0,00;15,37;
1772,67;1170;0;13;98;28;0,00;15,37;
1772,70;1170;0;15;98;28;0,00;15,37;
1772,74;1183;0;14;98;28;0,00;15,37;
1772,77;1183;0;15;98;28;0,00;15,37;
1772,80;1188;0;13;98;28;0,00;15,37;
1772,86;1188;0;14;98;28;0,00;15,37;
1772,88;1188;0;15;98;28;0,00;15,37;
1772,90;1188;0;14;98;28;0,00;15,37;
1772,93;1188;0;13;96;28;0,00;15,37;
1772,96;1197;0;13;98;28;0,00;15,37;
1772,99;1197;0;15;98;28;0,00;15,37;
1773,02;1199;0;14;98;28;0,00;15,37;
1773,07;1199;0;14;98;28;0,00;15,37;
1773,10;1199;0;12;98;28;0,00;15,37;
1773,11;1199;0;14;98;28;0,00;15,37;
1773,14;1195;0;13;98;28;0,00;15,37;
1773,18;1195;0;12;98;28;0,00;15,37;
1773,21;1195;0;12;98;28;0,00;15,37;
1773,24;1183;0;15;98;28;0,00;15,37;
1773,30;1183;0;12;98;28;0,00;15,37;
1773,31;1183;0;13;98;28;0,00;15,37;
1773,33;1183;0;13;98;28;0,00;15,37;
1773,36;1174;0;12;98;28;0,00;15,37;
1773,39;1174;0;15;98;28;0,00;15,37;
1773,42;1174;0;14;98;28;0,00;15,37;
1773,45;1151;0;13;98;28;0,00;15,37;
1773,51;1151;0;14;98;28;0,00;15,37;
1773,53;1151;0;14;98;28;0,00;15,37;
1773,55;1153;0;14;98;28;0,00;15,37;
1773,58;1153;0;15;98;28;0,00;15,37;
1773,61;1153;0;13;98;28;0,00;15,37;
1773,65;1162;0;13;98;28;0,00;15,37;
1773,68;1162;0;15;98;28;0,00;15,37;
1773,74;1162;0;13;98;28;0,00;15,37;
1773,75;1162;0;13;98;28;0,00;15,37;
1773,77;1173;0;13;98;28;0,00;15,37;
1773,80;1173;0;13;98;28;0,00;15,37;
1773,83;1173;0;15;98;28;0,00;15,37;
1773,86;1186;0;14;98;28;0,00;15,37;
1773,89;1186;0;12;98;28;0,00;15,37;
1773,96;1185;0;13;98;28;0,00;15,37;
1773,98;1185;0;13;98;28;0,00;15,37;
1773,99;1185;0;14;98;28;0,00;15,37;
1774,02;1185;0;13;98;28;0,00;15,37;
1774,05;1185;0;13;98;28;0,00;15,37;
1774,08;1176;0;13;98;28;0,00;15,37;
1774,11;1176;0;14;98;28;0,00;15,37;
1774,18;1165;0;13;98;28;0,00;15,37;
1774,20;1165;0;13;98;28;0,00;15,37;
1774,24;1165;0;14;98;28;0,00;15,37;
1774,27;1158;0;15;98;28;0,00;15,37;
1774,30;1158;0;13;98;28;0,00;15,37;
1774,33;1158;0;13;98;28;0,00;15,37;
1774,39;1157;0;15;98;28;0,00;15,37;
1774,41;1157;0;15;98;28;0,00;15,37;
1774,43;1157;0;15;98;28;0,00;15,37;
1774,46;1157;0;14;98;28;0,00;15,37;
1774,49;1166;0;13;98;28;0,00;15,37;
1774,52;1166;0;13;98;28;0,00;15,37;
1774,55;1166;0;15;98;28;0,00;15,37;
1774,61;1166;0;15;98;28;0,00;15,37;
1774,63;1166;0;12;98;28;0,00;15,37;
1774,65;1166;0;12;98;28;0,00;15,37;
1774,68;1162;0;12;98;28;0,00;15,37;
1774,71;1162;0;13;98;28;0,00;15,37;
1774,74;1162;0;11;98;28;0,00;15,37;
1774,77;1143;0;11;98;28;0,00;15,37;
1774,83;1143;0;11;98;28;0,00;15,37;
1774,86;1143;0;12;98;28;0,00;15,29;
1774,89;1102;0;13;98;28;0,00;15,29;
1774,92;1102;0;12;98;28;0,00;15,29;
1774,96;1102;0;12;98;28;0,00;15,29;
1774,99;1052;0;13;98;28;0,00;15,29;
1775,04;1052;0;13;98;28;0,00;15,29;
1775,07;1052;0;12;98;28;0,00;15,29;
1775,08;1052;0;13;98;28;0,00;15,29;
1775,11;1052;0;13;98;28;0,00;15,22;
1775,15;981;0;14;98;28;0,00;15,22;
1775,18;981;0;14;98;28;0,00;15,22;
1775,21;981;0;16;98;28;0,00;15,22;
1775,26;912;0;16;98;28;0,00;15,22;
1775,29;912;0;15;98;28;0,00;15,22;
1775,30;912;0;16;98;28;0,00;15,22;
1775,33;912;0;16;98;28;0,00;15,22;
1775,36;912;0;16;98;28;0,00;15,22;
1775,39;922;0;16;98;28;0,00;15,22;
1775,42;922;0;16;98;28;0,00;15,22;
1775,49;922;0;16;98;28;0,00;15,22;
1775,52;898;0;16;98;28;0,00;15,22;
1775,55;898;0;15;98;28;0,00;15,22;
1775,58;898;0;15;98;28;0,00;15,22;
1775,61;898;0;16;98;28;0,00;15,22;
1775,64;865;0;16;98;28;0,00;15,22;
1775,71;865;0;16;98;28;0,00;15,22;
1775,74;865;0;17;98;28;0,00;15,22;
1775,77;865;0;17;98;28;0,00;15,22;
1775,80;841;0;16;98;28;0,00;15,22;
1775,83;841;0;16;98;28;0,00;15,22;
1775,86;841;0;16;96;28;0,00;15,22;
1775,92;841;0;18;98;28;0,00;15,22;
1775,94;841;0;16;98;28;0,00;15,22;
1775,96;835;0;17;98;28;0,00;15,22;
1775,99;835;0;19;98;28;0,00;15,22;
1776,02;835;0;17;98;28;0,00;15,22;
1776,05;835;0;16;98;28;0,00;15,22;
1776,08;819;0;16;98;28;0,00;15,22;
1776,15;819;0;16;98;28;0,00;15,22;
1776,17;819;0;17;98;28;0,00;15,22;
1776,20;819;0;17;98;28;0,00;15,22;
1776,24;825;0;17;98;28;0,00;15,22;
1776,27;825;0;16;98;28;0,00;15,22;
1776,30;825;0;16;98;28;0,00;15,22;
1776,36;825;0;16;98;28;0,00;15,22;
1776,38;825;0;17;98;28;0,00;15,22;
1776,39;816;0;18;98;28;0,00;15,22;
1776,42;816;0;18;98;28;0,00;15,22;
1776,45;816;0;16;98;28;0,00;15,22;
1776,49;816;0;16;98;28;0,00;15,22;
1776,52;809;0;16;98;28;0,00;15,22;
1776,58;809;0;16;98;28;0,00;15,22;
1776,60;809;0;17;98;28;0,00;15,22;
1776,62;809;0;18;98;28;0,00;15,22;
1776,64;809;0;17;98;28;0,00;15,22;
1776,68;809;0;16;98;28;0,00;15,22;
1776,71;808;0;16;98;28;0,00;15,22;
1776,74;808;0;17;98;28;0,00;15,22;
1776,80;808;0;18;98;28;0,00;15,22;
1776,83;791;0;17;98;28;0,00;15,22;
1776,86;791;0;16;98;28;0,00;15,22;
1776,89;791;0;16;98;28;0,00;15,29;
1776,93;791;0;16;98;28;0,00;15,29;
1776,96;795;0;18;98;28;0,00;15,29;
1777,02;795;0;17;98;28;0,00;15,29;
1777,03;795;0;16;98;28;0,00;15,29;
1777,05;795;0;16;98;28;0,00;15,29;
1777,08;795;0;16;98;28;0,00;15,29;
1777,11;795;0;17;98;28;0,00;15,29;
1777,14;804;0;18;98;28;0,00;15,29;
1777,17;804;0;18;98;28;0,00;15,29;
1777,24;804;0;16;98;28;0,00;15,29;
1777,26;804;0;16;98;28;0,00;15,29;
1777,27;804;0;16;98;28;0,00;15,29;
1777,30;811;0;16;98;28;0,00;15,29;
1777,33;811;0;17;98;28;0,00;15,29;
1777,36;811;0;17;98;28;0,00;15,29;
1777,40;805;0;16;98;28;0,00;15,29;
1777,46;805;0;16;98;28;0,00;15,29;
1777,49;805;0;16;98;28;0,00;15,29;
1777,52;805;0;17;98;28;0,00;15,29;
1777,55;805;0;17;98;28;0,00;15,29;
1777,58;797;0;17;98;28;0,00;15,29;
1777,61;797;0;16;98;28;0,00;15,29;
1777,67;797;0;17;98;28;0,00;15,29;
1777,69;797;0;16;98;28;0,00;15,29;
1777,70;797;0;16;98;28;0,00;15,29;
1777,74;787;0;17;98;28;0,00;15,29;
1777,77;787;0;17;103;28;0,00;15,29;
1777,80;787;0;16;98;28;0,00;15,29;
1777,83;787;0;17;98;28;0,00;15,29;
1777,89;787;0;16;98;28;0,00;15,29;
1777,91;771;0;18;98;28;0,00;15,22;
1777,93;771;0;16;98;28;0,00;15,22;
1777,95;771;0;16;98;28;0,00;15,22;
1777,99;771;0;16;98;28;0,00;15,22;
1778,02;771;0;17;98;28;0,00;15,22;
1778,05;740;0;16;98;28;0,00;15,22;
1778,11;740;0;16;98;28;0,00;15,22;
1778,12;740;0;16;98;28;0,00;15,22;
1778,15;740;0;17;98;28;0,00;15,22;
1778,18;740;0;17;98;28;0,00;15,22;
1778,20;740;0;16;98;28;0,00;15,22;
1778,24;716;0;16;98;28;0,00;15,22;
1778,27;716;0;17;98;28;0,00;15,22;
1778,32;716;0;19;98;28;0,00;15,22;
1778,34;716;0;17;98;28;0,00;15,22;
1778,36;716;0;19;98;28;0,00;15,22;
1778,39;689;0;20;98;28;0,00;15,22;
1778,43;689;0;17;98;28;0,00;15,22;
1778,46;689;0;17;98;28;0,00;15,22;
1778,49;689;0;18;98;28;0,00;15,22;
1778,54;689;0;18;98;28;0,00;15,22;
1778,57;689;0;17;98;28;0,00;15,22;
1778,58;719;0;17;98;28;0,00;15,22;
1778,61;719;0;18;98;28;0,00;15,22;
1778,64;719;0;19;98;28;0,00;15,29;
1778,67;719;0;17;98;28;0,00;15,29;
1778,70;743;0;17;98;28;0,00;15,29;
1778,77;743;0;18;98;28;0,00;15,29;
1778,80;743;0;17;98;28;0,00;15,29;
1778,83;743;0;17;98;28;0,00;15,29;
1778,86;743;0;17;98;28;0,00;15,29;
1778,90;778;0;16;98;28;0,00;15,29;
1778,93;778;0;17;98;28;0,00;15,37;
1778,98;778;0;16;98;28;0,00;15,37;
1779,00;778;0;17;98;28;0,00;15,37;
1779,02;811;0;16;96;28;0,00;15,37;
1779,05;811;0;16;98;28;0,00;15,37;
1779,08;811;0;16;98;28;0,00;15,37;
1779,11;811;0;16;98;28;0,00;15,37;
1779,14;812;0;17;98;28;0,00;15,37;
1779,21;812;0;16;98;28;0,00;15,37;
1779,24;812;0;16;98;28;0,00;15,37;
1779,27;812;0;16;98;28;0,00;15,37;
1779,30;812;0;16;98;28;0,00;15,37;
1779,33;794;0;17;98;28;0,00;15,37;
1779,36;794;0;16;98;28;0,00;15,37;
1779,43;794;0;16;98;28;0,00;15,37;
1779,45;794;0;16;98;28;0,00;15,37;
1779,49;778;0;17;98;28;0,00;15,29;
1779,52;778;0;16;98;28;0,00;15,29;
1779,55;778;0;16;98;28;0,00;15,29;
1779,58;778;0;17;98;28;0,00;15,29;
1779,64;778;0;16;98;28;0,00;15,29;
1779,65;750;0;18;98;28;0,00;15,29;
1779,68;750;0;16;98;28;0,00;15,29;
1779,71;750;0;16;98;28;0,00;15,29;
1779,74;750;0;16;98;28;0,00;15,29;
1779,77;750;0;18;98;28;0,00;15,29;
1779,80;740;0;16;98;28;0,00;15,29;
1779,86;740;0;18;98;28;0,00;15,29;
1779,88;740;0;16;98;28;0,00;15,29;
1779,89;740;0;16;101;28;0,00;15,29;
1779,93;740;0;18;98;28;0,00;15,29;
1779,96;742;0;17;98;28;0,00;15,29;
1779,99;742;0;16;98;28;0,00;15,29;
1780,02;742;0;19;98;28;0,00;15,29;
1780,08;742;0;17;98;28;0,00;15,29;
1780,10;742;0;19;98;28;0,00;15,29;
1780,12;741;0;17;98;28;0,00;15,29;
1780,14;741;0;17;98;28;0,00;15,29;
1780,17;741;0;18;98;28;0,00;15,29;
1780,21;741;0;18;98;28;0,00;15,29;
1780,24;741;0;16;98;28;0,00;15,29;
1780,29;768;0;17;98;28;0,00;15,29;
1780,31;768;0;16;98;28;0,00;15,29;
1780,33;768;0;17;98;28;0,00;15,29;
1780,36;768;0;17;98;28;0,00;15,29;
1780,40;768;0;18;98;28;0,00;15,29;
1780,43;795;0;17;98;28;0,00;15,29;
1780,46;795;0;16;98;28;0,00;15,29;
1780,52;795;0;18;98;28;0,00;15,29;
1780,53;795;0;16;98;28;0,00;15,29;
1780,55;795;0;17;98;28;0,00;15,29;
1780,58;813;0;17;98;28;0,00;15,29;
1780,61;813;0;16;98;28;0,00;15,29;
1780,64;813;0;17;98;28;0,00;15,29;
1780,68;813;0;16;98;28;0,00;15,29;
1780,74;809;0;16;96;28;0,00;15,29;
1780,77;809;0;16;98;28;0,00;15,29;
1780,80;809;0;16;98;28;0,00;15,29;
1780,83;809;0;16;98;28;0,00;15,29;
1780,86;809;0;16;98;28;0,00;15,29;
1780,89;794;0;16;98;28;0,00;15,29;
1780,96;794;0;17;98;28;0,00;15,29;
1780,99;794;0;16;98;28;0,00;15,29;
1781,02;779;0;16;98;28;0,00;15,29;
1781,05;779;0;16;98;28;0,00;15,29;
1781,08;779;0;16;98;28;0,00;15,29;
1781,11;779;0;16;98;28;0,00;15,29;
1781,17;779;0;16;98;28;0,00;15,29;
1781,19;779;0;16;98;28;0,00;15,29;
1781,21;774;0;16;98;28;0,00;15,29;
1781,24;774;0;17;98;28;0,00;15,29;
1781,27;774;0;17;98;28;0,00;15,29;
1781,30;774;0;16;98;28;0,00;15,29;
1781,33;755;0;16;98;28;0,00;15,29;
1781,39;755;0;17;98;28;0,00;15,29;
1781,41;755;0;18;98;28;0,00;15,29;
1781,43;755;0;19;98;28;0,00;15,29;
1781,46;755;0;16;98;28;0,00;15,29;
1781,49;755;0;16;98;28;0,00;15,29;
1781,52;746;0;16;98;28;0,00;15,29;
1781,55;746;0;16;98;28;0,00;15,29;
1781,61;746;0;17;98;28;0,00;15,29;
1781,64;746;0;17;98;28;0,00;15,29;
1781,65;746;0;16;98;28;0,00;15,29;
1781,67;758;0;18;98;28;0,00;15,29;
1781,70;758;0;19;98;28;0,00;15,29;
1781,74;758;0;17;98;28;0,00;15,29;
1781,77;758;0;16;98;28;0,00;15,29;
1781,83;787;0;17;98;28;0,00;15,29;
1781,84;787;0;17;98;28;0,00;15,29;
1781,86;787;0;17;98;28;0,00;15,29;
1781,90;787;0;17;98;28;0,00;15,29;
1781,93;787;0;17;98;28;0,00;15,29;
1781,96;808;0;16;98;28;0,00;15,29;
1781,99;808;0;16;98;28;0,00;15,29;
1782,05;808;0;16;98;28;0,00;15,29;
1782,08;808;0;17;98;28;0,00;15,29;
1782,11;807;0;18;98;28;0,00;15,29;
1782,14;807;0;16;98;28;0,00;15,29;
1782,18;807;0;16;98;28;0,00;15,29;
1782,20;807;0;18;98;28;0,00;15,29;
1782,26;807;0;16;98;28;0,00;15,29;
1782,27;794;0;17;98;28;0,00;15,29;
1782,30;794;0;16;98;28;0,00;15,29;
1782,33;794;0;16;100;28;0,00;15,29;
1782,36;794;0;16;98;28;0,00;15,29;
1782,39;794;0;16;98;28;0,00;15,29;
1782,42;783;0;17;98;28;0,00;15,29;
1782,48;783;0;17;98;28;0,00;15,29;
1782,50;783;0;16;98;28;0,00;15,29;
1782,52;783;0;16;98;28;0,00;15,29;
1782,55;783;0;16;98;28;0,00;15,29;
1782,58;775;0;19;98;28;0,00;15,29;
1782,61;775;0;17;98;28;0,00;15,29;
1782,64;775;0;16;98;28;0,00;15,29;
1782,71;775;0;16;98;28;0,00;15,29;
1782,74;771;0;17;98;28;0,00;15,29;
1782,77;771;0;18;98;28;0,00;15,29;
1782,80;771;0;16;98;28;0,00;15,29;
1782,83;771;0;16;98;28;0,00;15,29;
1782,86;770;0;17;98;28;0,00;15,29;
1782,92;770;0;16;98;28;0,00;15,29;
1782,95;770;0;18;98;28;0,00;15,29;
1782,96;770;0;17;98;28;0,00;15,29;
1782,99;770;0;16;98;28;0,00;15,29;
1783,02;770;0;17;98;28;0,00;15,29;
1783,05;781;0;17;98;28;0,00;15,29;
1783,08;781;0;17;98;28;0,00;15,29;
1783,14;781;0;17;98;28;0,00;15,29;
1783,15;781;0;16;98;28;0,00;15,29;
1783,17;781;0;16;98;28;0,00;15,29;
1783,20;795;0;16;98;28;0,00;15,29;
1783,24;795;0;17;98;28;0,00;15,29;
1783,27;795;0;17;98;28;0,00;15,29;
1783,30;795;0;16;98;28;0,00;15,29;
1783,36;799;0;17;98;28;0,00;15,29;
1783,38;799;0;16;98;28;0,00;15,29;
1783,39;799;0;16;96;28;0,00;15,29;
1783,43;799;0;16;98;28;0,00;15,29;
1783,45;799;0;16;98;28;0,00;15,29;
1783,49;801;0;18;98;28;0,00;15,29;
1783,52;801;0;16;98;28;0,00;15,29;
1783,57;801;0;16;98;28;0,00;15,29;
1783,58;801;0;16;98;28;0,00;15,29;
1783,61;801;0;17;98;28;0,00;15,29;
1783,64;787;0;17;98;28;0,00;15,29;
1783,68;787;0;16;98;28;0,00;15,29;
1783,70;787;0;16;98;28;0,00;15,29;
1783,74;787;0;17;98;28;0,00;15,29;
1783,80;787;0;16;98;28;0,00;15,29;
1783,81;769;0;18;98;28;0,00;15,29;
1783,83;769;0;16;98;28;0,00;15,29;
1783,86;769;0;16;98;28;0,00;15,29;
1783,89;769;0;16;98;28;0,00;15,29;
1783,92;769;0;17;98;28;0,00;15,29;
1783,96;768;0;18;98;28;0,00;15,29;
1784,03;768;0;16;98;28;0,00;15,29;
1784,05;768;0;17;98;28;0,00;15,29;
1784,08;768;0;17;98;28;0,00;15,29;
1784,11;780;0;17;100;28;0,00;15,29;
1784,15;780;0;19;98;28;0,00;15,29;
1784,17;780;0;16;98;28;0,00;15,29;
1784,24;780;0;18;98;28;0,00;15,29;
1784,26;780;0;16;98;28;0,00;15,29;
1784,27;792;0;16;98;28;0,00;15,29;
1784,30;792;0;18;98;28;0,00;15,29;
1784,33;792;0;17;98;28;0,00;15,29;
1784,36;792;0;16;98;28;0,00;15,29;
1784,39;793;0;16;98;28;0,00;15,29;
1784,46;793;0;17;98;28;0,00;15,29;
1784,49;793;0;18;98;28;0,00;15,29;
1784,52;793;0;17;98;28;0,00;15,29;
1784,55;793;0;16;98;28;0,00;15,29;
1784,58;792;0;16;98;28;0,00;15,29;
1784,61;792;0;17;98;28;0,00;15,29;
1784,67;792;0;18;98;28;0,00;15,29;
1784,70;795;0;18;98;28;0,00;15,29;
1784,74;795;0;16;100;28;0,00;15,29;
1784,77;795;0;16;98;28;0,00;15,29;
1784,80;795;0;16;98;28;0,00;15,29;
1784,83;799;0;18;98;28;0,00;15,29;
1784,89;799;0;16;98;28;0,00;15,29;
1784,91;799;0;18;98;28;0,00;15,29;
1784,93;799;0;16;98;28;0,00;15,29;
1784,95;799;0;16;98;28;0,00;15,29;
1784,98;799;0;16;98;28;0,00;15,29;
1785,02;788;0;17;98;28;0,00;15,29;
1785,05;788;0;16;98;28;0,00;15,29;
1785,10;788;0;18;98;28;0,00;15,29;
1785,12;788;0;16;98;28;0,00;15,29;
1785,14;788;0;17;98;28;0,00;15,29;
1785,17;782;0;19;98;28;0,00;15,29;
1785,20;782;0;18;98;28;0,00;15,29;
1785,24;782;0;18;98;28;0,00;15,29;
1785,27;782;0;16;100;28;0,00;15,29;
1785,34;776;0;18;98;28;0,00;15,29;
1785,36;776;0;19;98;28;0,00;15,29;
1785,39;776;0;17;98;28;0,00;15,29;
1785,42;776;0;16;98;28;0,00;15,29;
1785,45;776;0;16;98;28;0,00;15,29;
1785,49;781;0;18;98;28;0,00;15,29;
1785,54;781;0;16;98;28;0,00;15,29;
1785,57;781;0;17;98;28;0,00;15,29;
1785,58;781;0;16;98;28;0,00;15,29;
1785,61;781;0;17;98;28;0,00;15,29;
1785,64;784;0;16;98;28;0,00;15,29;
1785,68;784;0;18;98;28;0,00;15,29;
1785,70;784;0;16;98;28;0,00;15,29;
1785,76;784;0;17;98;28;0,00;15,29;
1785,77;784;0;16;100;28;0,00;15,29;
1785,80;791;0;16;98;28;0,00;15,29;
1785,83;791;0;16;98;28;0,00;15,29;
1785,86;791;0;17;98;28;0,00;15,29;
1785,89;791;0;17;98;28;0,00;15,29;
1785,93;807;0;16;98;28;0,00;15,29;
1785,99;807;0;16;98;28;0,00;15,29;
1786,02;807;0;16;98;28;0,00;15,29;
1786,05;807;0;16;98;28;0,00;15,29;
1786,08;802;0;17;98;28;0,00;15,29;
1786,11;802;0;17;98;28;0,00;15,29;
1786,14;802;0;16;98;28;0,00;15,29;
1786,21;802;0;16;98;28;0,00;15,29;
1786,24;787;0;18;98;28;0,00;15,29;
1786,27;787;0;17;98;28;0,00;15,29;
1786,30;787;0;16;98;28;0,00;15,29;
1786,33;787;0;16;100;28;0,00;15,29;
1786,36;783;0;18;98;28;0,00;15,29;
1786,42;783;0;16;98;28;0,00;15,29;
1786,45;783;0;16;98;28;0,00;15,29;
